"Gender","Age","Marital_Status","Website_Activity","Browsed_Electronics_12Mo","Bought_Electronics_12Mo","Bought_Digital_Media_18Mo","Bought_Digital_Books","Payment_Method","User_ID","eReader_Adoption"
"M",61.0,"M","Seldom","Yes","Yes","Yes","No","Bank Transfer",9552.0,"Late Majority"
"M",27.0,"M","Regular","Yes","No","Yes","No","Bank Transfer",6757.0,"Innovator"
"F",29.0,"M","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",3599.0,"Early Adopter"
"M",49.0,"M","Seldom","Yes","Yes","Yes","Yes","Website Account",6811.0,"Early Adopter"
"M",29.0,"S","Seldom","Yes","Yes","Yes","No","Website Account",4104.0,"Late Majority"
"M",60.0,"S","Seldom","No","Yes","Yes","Yes","Credit Card",7226.0,"Early Majority"
"F",53.0,"S","Regular","Yes","No","Yes","Yes","Bank Transfer",7814.0,"Early Adopter"
"F",63.0,"S","Seldom","Yes","Yes","Yes","No","Bank Transfer",4693.0,"Late Majority"
"M",46.0,"M","Regular","Yes","Yes","Yes","Yes","Monthly Billing",7266.0,"Innovator"
"F",25.0,"S","Seldom","Yes","Yes","Yes","No","Website Account",5259.0,"Early Majority"
"F",40.0,"M","Regular","Yes","Yes","No","Yes","Website Account",7417.0,"Innovator"
"M",29.0,"S","Seldom","Yes","Yes","Yes","Yes","Credit Card",6795.0,"Early Adopter"
"F",49.0,"S","Seldom","Yes","Yes","Yes","No","Monthly Billing",8669.0,"Late Majority"
"M",41.0,"M","Regular","Yes","Yes","Yes","Yes","Credit Card",9888.0,"Innovator"
"F",47.0,"S","Regular","Yes","No","No","Yes","Bank Transfer",9181.0,"Innovator"
"F",43.0,"M","Seldom","Yes","Yes","Yes","No","Bank Transfer",2792.0,"Late Majority"
"M",63.0,"M","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",5174.0,"Early Adopter"
"F",37.0,"M","Regular","No","Yes","Yes","Yes","Monthly Billing",8702.0,"Early Adopter"
"M",32.0,"S","Seldom","Yes","Yes","Yes","No","Credit Card",4318.0,"Early Majority"
"M",48.0,"M","Seldom","No","No","No","No","Credit Card",6091.0,"Late Majority"
"F",57.0,"M","Seldom","Yes","No","Yes","Yes","Monthly Billing",8380.0,"Early Adopter"
"M",36.0,"M","Seldom","Yes","Yes","Yes","No","Bank Transfer",6892.0,"Early Majority"
"F",55.0,"S","Seldom","Yes","No","No","No","Bank Transfer",7976.0,"Late Majority"
"F",50.0,"S","Seldom","Yes","Yes","Yes","No","Bank Transfer",7214.0,"Late Majority"
"F",48.0,"S","Seldom","Yes","Yes","No","No","Website Account",3369.0,"Late Majority"
"F",33.0,"S","Regular","Yes","Yes","Yes","Yes","Bank Transfer",1645.0,"Innovator"
"F",22.0,"S","Seldom","Yes","No","No","Yes","Bank Transfer",2866.0,"Early Adopter"
"F",21.0,"M","Seldom","Yes","Yes","No","Yes","Bank Transfer",7014.0,"Early Adopter"
"M",49.0,"M","Seldom","Yes","No","Yes","No","Monthly Billing",6177.0,"Late Majority"
"M",47.0,"M","Seldom","Yes","Yes","Yes","Yes","Monthly Billing",6199.0,"Early Adopter"
